ID,Type,Message,Performed By,Occurred At
23893053,label_create_activity,"davidyin97 created labels: ""feat""",davidyin97,2022-10-04T19:52:51Z
183457378,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T19:52:50Z
183457396,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T19:52:45Z
183457396,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T19:52:43Z
183458847,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T19:52:36Z
23893052,label_create_activity,"davidyin97 created labels: ""feature""",davidyin97,2022-10-04T19:52:36Z
183458847,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T19:52:34Z
183457378,story_update_activity,davidyin97 estimated this feature as 3 points,davidyin97,2022-10-04T19:48:30Z
183457396,story_update_activity,davidyin97 estimated this feature as 3 points,davidyin97,2022-10-04T19:48:23Z
183458847,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T19:48:05Z
183458847,story_create_activity,davidyin97 added this feature,davidyin97,2022-10-04T19:47:27Z
183457396,story_update_activity,davidyin97 edited this feature,davidyin97,2022-10-04T17:27:02Z
183457396,story_create_activity,davidyin97 added this feature,davidyin97,2022-10-04T17:26:52Z
183457378,story_create_activity,davidyin97 added this feature,davidyin97,2022-10-04T17:25:27Z
183457176,story_create_activity,davidyin97 added this feature,davidyin97,2022-10-04T17:06:24Z
183436796,story_update_activity,davidyin97 estimated this feature as 2 points,davidyin97,2022-10-04T17:00:29Z
183451859,story_update_activity,Shawn estimated this feature as 0 points,Shawn,2022-10-04T07:58:24Z
183451859,task_update_activity,"Shawn rewrote task: ""delete the previous data (0.5hr)""",Shawn,2022-10-04T07:49:48Z
183451859,task_create_activity,"Shawn added task: ""delete the previous data (0.5hr)""",Shawn,2022-10-04T07:49:31Z
183451859,task_create_activity,"Shawn added task: ""design the data storage method of new data in database (1hr)""",Shawn,2022-10-04T07:48:19Z
183451859,task_update_activity,"Shawn rewrote task: ""create ""resubmit"" feature on backend system (2 hr)""",Shawn,2022-10-04T07:47:09Z
183451859,task_update_activity,"Shawn rewrote task: ""create ""resubmit"" button on survey (all members) (0.5)""",Shawn,2022-10-04T07:46:34Z
183451859,task_create_activity,"Shawn added task: ""create ""resubmit"" feature on backend system (2 hr)""",Shawn,2022-10-04T07:46:23Z
183451859,task_create_activity,"Shawn added task: ""create ""resubmit"" button on survey (all members) (0.5)""",Shawn,2022-10-04T07:45:43Z
183451432,comment_create_activity,"Shawn added comment: ""Given the survey webpage is present,
when I click on the option of the questions and save the choice and click the submit ,
then the data of my survey will be sent to backend database.""",Shawn,2022-10-04T07:44:27Z
183451432,comment_delete_activity,"Shawn removed comment: ""Given the survey webpage is present,
when I click on the option of the questions and save the choice and click the submit ,
then the data of my survey will be sent to backend database.""",Shawn,2022-10-04T07:44:24Z
183451432,comment_create_activity,"Shawn added comment: ""Given the survey login webpage is present,
when I click on the  ""login"" or ""sign up"" button, and login by my account number or sign up by my student email or ID ，
then the survey webpage will be open on my computer browser..""",Shawn,2022-10-04T07:44:04Z
183451432,comment_update_activity,Shawn edited this comment,Shawn,2022-10-04T07:41:11Z
183451859,story_create_activity,Shawn added this feature,Shawn,2022-10-04T07:39:14Z
183451432,task_update_activity,"Shawn rewrote task: ""According to our data type, we designed the storage method, and stored the data obtained in our survey into our database （all members) (3hr)""",Shawn,2022-10-04T07:25:01Z
183451432,task_create_activity,"Shawn added task: ""According to our data type, we designed the storage method, and stored the data obtained in our survey into our database （all members) (3hr)""",Shawn,2022-10-04T07:22:20Z
183451432,task_update_activity,"Shawn rewrote task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:15:00Z
183451432,task_update_activity,"Shawn rewrote task: ""create a survey  and create a link of it ( all members) (1 hr)""",Shawn,2022-10-04T07:14:13Z
183451432,task_update_activity,"Shawn uncompleted task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:13:11Z
183451432,task_update_activity,"Shawn completed task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:13:07Z
183451432,task_create_activity,"Shawn added task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:12:49Z
183451432,task_create_activity,"Shawn added task: ""create a survey  and create a link of it ( all members) (1 hr)""",Shawn,2022-10-04T07:12:06Z
183451432,story_create_activity,Shawn added this feature,Shawn,2022-10-04T07:08:54Z
183437274,story_update_activity,Shawn edited this feature,Shawn,2022-10-04T06:22:59Z
183370590,follower_create_activity,Shawn started following this story,Shawn,2022-10-04T06:06:55Z
183346636,follower_create_activity,Shawn started following this story,Shawn,2022-10-04T06:06:45Z
183346636,follower_delete_activity,Shawn stopped following this story,Shawn,2022-10-04T06:06:37Z
183346636,follower_create_activity,Shawn started following this story,Shawn,2022-10-04T06:06:36Z
183346636,story_update_activity,Shawn edited this feature,Shawn,2022-10-04T06:04:49Z
183370589,comment_create_activity,"yao049 added comment: ""Given a Hide/Show your Survey function is available when the students want to keep their survey a secret then they can just hide it.""",yao049,2022-10-04T04:53:10Z
183370589,comment_create_activity,"yao049 added comment: ""Given a  Hide/Show your Survey function is available when students want to show their survey to other team members then they can know each other better.""",yao049,2022-10-04T04:50:44Z
183370589,task_create_activity,"yao049 added task: ""Test UI functions - 0.5 hrs""",yao049,2022-10-04T04:48:36Z
183370589,task_create_activity,"yao049 added task: ""Build UI page- 1 hr""",yao049,2022-10-04T04:48:35Z
